ID: 1, Día: 1, Temperatura: 21.0, Humedad: 56.7, Amperaje: 0.0045, Longitud: 0
ID: 1, Día: 1, Temperatura: 19.8, Humedad: 52.3, Amperaje: 0.0051, Longitud: 0
ID: 1, Día: 2, Temperatura: 22.3, Humedad: 54.1, Amperaje: 0.0075, Longitud: 0
ID: 1, Día: 2, Temperatura: 23.5, Humedad: 55.0, Amperaje: 0.0048, Longitud: 0
ID: 1, Día: 3, Temperatura: 24.0, Humedad: 56.2, Amperaje: 0.0043, Longitud: 0
ID: 1, Día: 3, Temperatura: 23.7, Humedad: 55.8, Amperaje: 0.0044, Longitud: 0
ID: 1, Día: 4, Temperatura: 22.8, Humedad: 56.0, Amperaje: 0.0065, Longitud: 0
ID: 1, Día: 4, Temperatura: 23.2, Humedad: 55.4, Amperaje: 0.0047, Longitud: 0
ID: 1, Día: 5, Temperatura: 24.3, Humedad: 55.9, Amperaje: 0.0055, Longitud: 0
ID: 1, Día: 5, Temperatura: 23.9, Humedad: 56.3, Amperaje: 0.0059, Longitud: 0
ID: 1, Día: 6, Temperatura: 24.1, Humedad: 56.5, Amperaje: 0.0042, Longitud: 0
ID: 1, Día: 6, Temperatura: 23.4, Humedad: 55.7, Amperaje: 0.0050, Longitud: 0
ID: 1, Día: 7, Temperatura: 24.2, Humedad: 56.1, Amperaje: 0.0041, Longitud: 0
ID: 1, Día: 7, Temperatura: 22.9, Humedad: 56.6, Amperaje: 0.0062, Longitud: 0
ID: 1, Día: 8, Temperatura: 21.4, Humedad: 53.3, Amperaje: 0.0074, Longitud: 0
ID: 1, Día: 8, Temperatura: 23.8, Humedad: 55.3, Amperaje: 0.0070, Longitud: 0
ID: 1, Día: 9, Temperatura: 24.4, Humedad: 55.7, Amperaje: 0.0049, Longitud: 0
ID: 1, Día: 9, Temperatura: 23.6, Humedad: 56.2, Amperaje: 0.0056, Longitud: 0
ID: 1, Día: 10, Temperatura: 23.2, Humedad: 55.9, Amperaje: 0.0053, Longitud: 0
ID: 1, Día: 10, Temperatura: 24.1, Humedad: 56.5, Amperaje: 0.0048, Longitud: 0
ID: 1, Día: 11, Temperatura: 24.0, Humedad: 56.3, Amperaje: 0.0047, Longitud: 0
ID: 1, Día: 11, Temperatura: 24.3, Humedad: 56.7, Amperaje: 0.0042, Longitud: 0
ID: 1, Día: 12, Temperatura: 24.5, Humedad: 56.9, Amperaje: 0.0051, Longitud: 0
ID: 1, Día: 12, Temperatura: 23.8, Humedad: 56.4, Amperaje: 0.0046, Longitud: 0
ID: 1, Día: 13, Temperatura: 24.2, Humedad: 56.2, Amperaje: 0.0048, Longitud: 0.1
ID: 1, Día: 13, Temperatura: 24.6, Humedad: 56.5, Amperaje: 0.0053, Longitud: 0.1
ID: 1, Día: 14, Temperatura: 24.5, Humedad: 56.9, Amperaje: 0.0051, Longitud: 0.12
